filename,width,height,class,xmin,ymin,xmax,ymax
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,van,315,182,435,361
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,242,99,315,174
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,420,153,484,267
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,366,81,410,129
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,556,65,582,96
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,436,247,535,412
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,478,74,509,125
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,416,61,451,108
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,car,535,52,564,71
North-Drive-1_mp4-191_jpg.rf.a432e1e83f5bbc91ce830fa2789ed0f5.jpg,640,640,motorcycle,517,94,533,138
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,241,101,312,175
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,0,306,183,532
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,397,154,472,272
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,420,60,455,106
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,406,239,526,497
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,476,175,552,288
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,462,52,489,86
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,487,123,565,195
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,motorcycle,197,120,221,186
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,motorcycle,522,80,535,125
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,608,131,640,172
00-Raw_vid_mp4-196_jpg.rf.a619ce1110aa916e489c22eae9a25d58.jpg,640,640,car,580,64,598,88
North-Drive-1_mp4-158_jpg.rf.a92c22b96d365843e65e409bd80ed503.jpg,640,640,car,237,192,346,315
